Date,Hour,Condi,Temp,Sunsine,Dew,preci,Snow,wdirect,wspeed,Gust,Pressure,Humidity
2024-05-10,08,,32 °C,—,26.1 °C,0 mm,—,,13 km/h,—,1010 hPa,71 %
2024-05-10,09,,34 °C,—,23.1 °C,0 mm,—,,22 km/h,—,1011 hPa,53 %
2024-05-10,10,,35 °C,—,23 °C,0 mm,—,,15 km/h,—,1010 hPa,50 %
2024-05-10,11,,36 °C,—,21.1 °C,0 mm,—,,15 km/h,—,1010 hPa,42 %
2024-05-10,12,,36 °C,—,21.1 °C,0.4 mm,—,,13 km/h,—,1010 hPa,42 %
2024-05-10,13,,38 °C,—,22.1 °C,0 mm,—,,15 km/h,—,1008 hPa,40 %
2024-05-10,14,,38 °C,—,22.9 °C,0.8 mm,—,,19 km/h,—,1007 hPa,42 %
2024-05-10,15,,37 °C,—,22 °C,0.3 mm,—,,17 km/h,—,1007 hPa,42 %
2024-05-10,16,,34 °C,—,23.1 °C,0 mm,—,,19 km/h,—,1007 hPa,53 %
2024-05-10,17,,33 °C,—,23.9 °C,0.5 mm,—,,19 km/h,—,1007 hPa,59 %
2024-05-10,18,,32 °C,—,24.1 °C,0 mm,—,,19 km/h,—,1008 hPa,63 %
2024-05-10,19,,32 °C,—,26.1 °C,0 mm,—,,15 km/h,—,1009 hPa,71 %
2024-05-10,20,,31 °C,—,26 °C,0 mm,—,,20 km/h,—,1009 hPa,75 %
2024-05-10,21,,31 °C,—,26.9 °C,0 mm,—,,17 km/h,—,1010 hPa,79 %
2024-05-10,22,,31 °C,—,26.9 °C,0 mm,—,,11 km/h,—,1011 hPa,79 %
2024-05-10,23,,31 °C,—,26.9 °C,0 mm,—,,20 km/h,—,1010 hPa,79 %
2024-05-11,00,,30 °C,—,27 °C,0 mm,—,,13 km/h,—,1010 hPa,84 %
2024-05-11,01,,30 °C,—,27 °C,0 mm,—,,9 km/h,—,1010 hPa,84 %
